id;icon;name;description;status;created;modified
1;Mountains payment e-markets;Marketing Supervisor lime;whiteboard Bedfordshire platforms;ORIGINATE;2020-11-18T18:43:03;2020-11-18T19:00:05
2;Pants Refined Metal Tuna Developer;Home Loan Account;groupware Nepal;ORIGINATE;2020-11-18T02:14:40;2020-11-18T18:53:48
3;Outdoors Fantastic Rubber Mouse Crossing;Iowa target program;bus Soft parsing;ORIGINATE;2020-11-18T07:57:59;2020-11-18T06:39:22
4;Handcrafted Cotton Shirt Analyst;deposit embrace standardization;logistical;ORIGINATE;2020-11-18T04:00:01;2020-11-18T19:17:40
5;application users;Rhode Island Agent;intangible withdrawal;ORIGINATE;2020-11-18T15:12:55;2020-11-18T11:20:20
6;optimize Lead indexing;SCSI;navigate;ORIGINATE;2020-11-18T18:52:14;2020-11-18T14:56:04
7;Cotton;Georgia;orchid;ORIGINATE;2020-11-18T10:18:28;2020-11-18T05:45:42
8;Kyat;open-source hacking generating;panel;ORIGINATE;2020-11-18T04:34:39;2020-11-18T17:47:28
9;revolutionize;Intelligent Soft Salad Bedfordshire invoice;hub;ORIGINATE;2020-11-18T04:38:11;2020-11-18T22:18:24
10;Home Loan Account B2C;Legacy Total;extensible Kentucky;ORIGINATE;2020-11-18T13:15:02;2020-11-18T01:34:23
