id;icon;name;description;status;created;modified
1;Analyst Cotton;Crossing array recontextualize;interface;ORIGINATE;2020-11-18T06:04:09;2020-11-18T07:09:07
2;Frozen Berkshire multimedia;success Incredible USB;Colorado;ORIGINATE;2020-11-18T07:21:17;2020-11-18T18:28:54
3;JBOD;National capacitor;Hat Parkways Taka;ORIGINATE;2020-11-18T08:03:02;2020-11-18T15:05:23
4;input synthesize Trafficway;redefine orchid project;AI system-worthy;ORIGINATE;2020-11-18T06:56:53;2020-11-18T10:56:13
5;enable Dynamic;Gorgeous Concrete Mouse Refined;wireless card;ORIGINATE;2020-11-18T22:16:03;2020-11-18T23:48:41
6;Buckinghamshire;North Dakota;Future Chips user-facing;ORIGINATE;2020-11-18T08:55:10;2020-11-18T15:00:37
7;RSS;Congolese Franc;capacity Liberia;ORIGINATE;2020-11-18T22:20:55;2020-11-18T01:35:58
8;payment multi-byte Soft;Tennessee;Avon scale Checking Account;ORIGINATE;2020-11-18T15:43:12;2020-11-18T21:11:48
9;Garden neural Ergonomic;Web;Quality;ORIGINATE;2020-11-18T19:26:39;2020-11-18T18:29:29
10;Belgium PCI;Wisconsin Island;Michigan;ORIGINATE;2020-11-18T08:02:11;2020-11-18T23:41:47
