id;name;description;quantity;unit_price;coin;point;status;created;modified
1;Florida Sleek;Bacon monitor;72861;27270;71999;1781;ORIGINATE;2020-11-18T06:17:10;2020-11-18T12:36:14
2;virtual;generate Buckinghamshire info-mediaries;57457;37142;21064;22883;ORIGINATE;2020-11-18T03:14:09;2020-11-18T10:43:09
3;withdrawal;auxiliary Generic;61570;9271;26694;76489;ORIGINATE;2020-11-18T05:49:01;2020-11-18T02:16:50
4;Liaison hierarchy Profit-focused;Soft program internet solution;11174;70128;67513;50603;ORIGINATE;2020-11-18T03:27:32;2020-11-18T11:10:08
5;Ohio payment e-services;Granite haptic;87878;97174;10664;65104;ORIGINATE;2020-11-18T14:02:52;2020-11-18T23:23:48
6;Lane Regional;deposit feed navigate;86368;61637;71040;23192;ORIGINATE;2020-11-18T00:48:29;2020-11-18T22:04:48
7;Incredible Steel;Heights Monaco withdrawal;70764;14930;81365;81482;ORIGINATE;2020-11-18T13:50:24;2020-11-18T22:30:40
8;technologies parse Falls;Pataca reboot Licensed Wooden Pants;20052;49260;31999;25112;ORIGINATE;2020-11-18T07:00:06;2020-11-18T07:59:44
9;Roads;Networked experiences;92844;87767;43832;83241;ORIGINATE;2020-11-18T12:55:13;2020-11-18T23:07:21
10;productivity;Crest Managed;87504;3212;87729;50808;ORIGINATE;2020-11-18T01:11:15;2020-11-18T15:35:11
