id;name;status;created;modified
1;hard drive Director;ORIGINATE;2020-11-28T09:50:09;2020-11-27T20:34:36
2;Fort;ORIGINATE;2020-11-28T08:01:50;2020-11-28T13:43:42
3;paradigms;ORIGINATE;2020-11-27T19:25:07;2020-11-27T23:19:29
4;redundant Handcrafted;ORIGINATE;2020-11-28T14:26:00;2020-11-28T05:29:54
5;internet solution;ORIGINATE;2020-11-27T23:55:36;2020-11-28T07:31:27
6;Valleys;ORIGINATE;2020-11-27T17:23:26;2020-11-28T01:13:35
7;Investment Account;ORIGINATE;2020-11-28T05:09:34;2020-11-28T10:50:30
8;Home FTP reboot;ORIGINATE;2020-11-27T17:35:21;2020-11-27T19:33:48
9;bluetooth;ORIGINATE;2020-11-28T09:05:52;2020-11-28T13:32:38
10;CSS lime Small;ORIGINATE;2020-11-28T10:48:14;2020-11-27T16:12:38
