id;text;coin;point;jhi_like;dislike;author;status;created;modified
1;../fake-data/blob/hipster.txt;56029;1016;70511;63796;Gibraltar Bedfordshire;ORIGINATE;2020-11-28T13:40:35;2020-11-27T19:49:29
2;../fake-data/blob/hipster.txt;15685;31235;29340;95653;Orchestrator Metrics;ORIGINATE;2020-11-28T01:18:28;2020-11-28T10:54:38
3;../fake-data/blob/hipster.txt;92674;40152;35345;75491;Mobility Developer Singapore;READED;2020-11-28T14:22:34;2020-11-28T00:53:28
4;../fake-data/blob/hipster.txt;98945;88999;7622;57563;EXE Tactics;READED;2020-11-28T06:45:56;2020-11-28T03:09:46
5;../fake-data/blob/hipster.txt;94184;92843;41200;12309;Sausages Forges Frozen;READED;2020-11-28T13:36:07;2020-11-28T10:01:53
6;../fake-data/blob/hipster.txt;74831;32483;83127;4201;Credit Card Account microchip;READED;2020-11-28T09:07:16;2020-11-27T18:15:42
7;../fake-data/blob/hipster.txt;18885;16810;34928;18286;Hawaii;ORIGINATE;2020-11-27T23:12:14;2020-11-27T22:52:27
8;../fake-data/blob/hipster.txt;22932;38222;67751;78000;convergence;READED;2020-11-28T14:58:36;2020-11-28T12:29:57
9;../fake-data/blob/hipster.txt;34043;87523;66595;6667;cross-platform Internal;READED;2020-11-27T18:01:21;2020-11-27T22:54:45
10;../fake-data/blob/hipster.txt;36126;91512;13164;60489;Metal;ORIGINATE;2020-11-28T04:24:33;2020-11-27T21:48:28
