id;category_name;name;description;text;coin;point;jhi_like;dislike;author;views;comments;status;created;modified
1;partnerships function Shoes;budgetary management navigate bluetooth;withdrawal Assistant;../fake-data/blob/hipster.txt;55267;70385;75098;49683;Liaison Fantastic one-to-one;93546;76188;ORIGINATE;2020-11-18T17:33:11;2020-11-18T05:42:55
2;ADP Manager Beauty;Berkshire Handcrafted Frozen Soap;interface;../fake-data/blob/hipster.txt;48703;83334;55419;54432;Chips drive deposit;1363;23545;ORIGINATE;2020-11-18T06:01:20;2020-11-18T23:25:27
3;brand Savings Account AGP;circuit;Multi-layered Identity ivory;../fake-data/blob/hipster.txt;67583;78186;51579;14183;Dynamic withdrawal generate;4413;63562;ORIGINATE;2020-11-18T00:23:40;2020-11-18T12:53:44
4;system-worthy;web-readiness 1080p;synthesizing Metal;../fake-data/blob/hipster.txt;40276;34000;47560;22548;Avon Table portals;94122;10019;ORIGINATE;2020-11-18T20:03:35;2020-11-17T23:43:07
5;solid state Mississippi;Wooden;compress Fresh;../fake-data/blob/hipster.txt;11188;54611;59746;86629;Dynamic functionalities;79351;31048;ORIGINATE;2020-11-18T14:53:56;2020-11-18T11:20:03
6;Bedfordshire dynamic circuit;firewall Frozen navigate;intranet;../fake-data/blob/hipster.txt;61946;47631;519;65942;Beauty facilitate calculating;5292;57258;ORIGINATE;2020-11-18T22:42:24;2020-11-18T14:36:42
7;Facilitator;responsive;Bedfordshire New Zealand Dollar Configuration;../fake-data/blob/hipster.txt;64458;83203;50809;40189;user-centric Frozen Identity;28394;84217;ORIGINATE;2020-11-18T10:46:03;2020-11-18T20:16:59
8;panel Electronics RAM;Configuration;white Industrial;../fake-data/blob/hipster.txt;32694;34560;49926;47067;Corner;67847;8148;ORIGINATE;2020-11-18T12:17:24;2020-11-18T20:49:14
9;Ranch;hacking;transmitting Mauritius Chief;../fake-data/blob/hipster.txt;79440;62496;34958;98138;solutions neural;3226;79818;ORIGINATE;2020-11-18T01:58:57;2020-11-18T10:15:29
10;payment Burundi Metal;background Clothing primary;engage Pizza Generic;../fake-data/blob/hipster.txt;73902;78915;7395;65148;strategic Dominican Peso empowering;26783;40433;ORIGINATE;2020-11-18T02:38:22;2020-11-18T13:43:13
