id;name;description;coin;point;status;created;modified
1;Soap;maroon Licensed program;69022;68356;ORIGINATE;2020-11-28T00:13:39;2020-11-27T05:40:27
2;Accounts;Money Market Account Administrator;21476;11603;ORIGINATE;2020-11-27T05:13:51;2020-11-27T05:57:21
3;Lead;Cotton matrix Kyat;46270;19420;ORIGINATE;2020-11-27T15:10:41;2020-11-27T15:13:09
4;Future Assistant seamless;New Zealand Dollar Spurs;50561;52655;ORIGINATE;2020-11-28T02:12:49;2020-11-27T09:14:42
5;West Virginia;overriding standardization Hryvnia;37264;71386;ORIGINATE;2020-11-27T20:47:22;2020-11-27T20:25:15
6;Sausages Assurance HTTP;Comoro Franc;79470;77762;ORIGINATE;2020-11-28T03:55:11;2020-11-27T19:35:31
7;array portals;Expanded concept;68611;29323;ORIGINATE;2020-11-27T14:30:20;2020-11-27T17:16:19
8;Checking Account primary Fresh;Handcrafted Soft Gloves;75676;35204;ORIGINATE;2020-11-27T18:46:56;2020-11-28T03:47:06
9;Kansas Gorgeous Cotton Bike value-added;Division;82705;3041;ORIGINATE;2020-11-27T23:15:56;2020-11-28T02:14:23
10;withdrawal;migration;70058;81742;ORIGINATE;2020-11-27T20:31:50;2020-11-27T11:36:48
