id;description;coin;point;ship_to;status;created;modified
1;Representative;88340;66844;clicks-and-mortar Granite;ORIGINATE;2020-11-18T14:10:12;2020-11-18T04:01:10
2;solid state Liaison;30639;96311;Incredible Steel Fish Intelligent quantifying;ORIGINATE;2020-11-18T07:20:44;2020-11-18T19:07:43
3;Berkshire Pizza Front-line;67470;16474;Configuration;ORIGINATE;2020-11-18T21:17:35;2020-11-18T21:42:59
4;Niue EXE Generic;1522;22835;optimize Ethiopia;ORIGINATE;2020-11-18T19:40:05;2020-11-18T17:54:33
5;Auto Loan Account Cordoba Oro hard drive;83636;99368;Pants definition Tunisia;ORIGINATE;2020-11-18T14:07:31;2020-11-18T00:37:57
6;grey;83531;87355;Cotton paradigms Burkina Faso;ORIGINATE;2020-11-18T03:01:21;2020-11-18T20:43:46
7;Mozambique;22735;80807;digital Beauty Ohio;ORIGINATE;2020-11-18T15:01:27;2020-11-18T04:14:11
8;clear-thinking transmitter;6326;5404;Networked;ORIGINATE;2020-11-18T01:26:46;2020-11-18T17:58:10
9;Tools Wooden index;31885;14280;bus white transmit;ORIGINATE;2020-11-18T04:14:27;2020-11-18T03:16:22
10;deposit Lock deliverables;16936;67310;HDD;ORIGINATE;2020-11-18T23:17:52;2020-11-18T18:34:24
