id;description;grade;credit;status;created;modified
1;architect Small Steel Salad;42540;71085;ORIGINATE;2020-11-18T05:12:45;2020-11-18T05:10:50
2;invoice relationships Cambridgeshire;4394;11330;ORIGINATE;2020-11-18T15:24:43;2020-11-18T15:00:15
3;SCSI Designer compress;35085;95071;ORIGINATE;2020-11-18T07:12:51;2020-11-18T14:22:02
4;Human Regional solutions;42715;23292;ORIGINATE;2020-11-18T05:38:27;2020-11-18T14:54:04
5;Universal EXE Soft;74880;72458;ORIGINATE;2020-11-18T16:02:54;2020-11-18T15:51:57
6;Mall invoice Re-engineered;29919;65578;ORIGINATE;2020-11-18T18:30:30;2020-11-18T16:48:42
7;Idaho Dynamic;4503;65809;ORIGINATE;2020-11-18T12:55:34;2020-11-18T13:52:31
8;Cote d'Ivoire Cloned;33151;35887;ORIGINATE;2020-11-18T07:21:53;2020-11-18T23:10:32
9;Fresh Liaison Bedfordshire;27892;62653;ORIGINATE;2020-11-18T20:58:42;2020-11-18T14:03:30
10;web-readiness sky blue;11251;55537;ORIGINATE;2020-11-18T03:51:46;2020-11-18T10:41:08
