id;policy;text
1;Grenada turn-key;../fake-data/blob/hipster.txt
2;Forint incentivize Salad;../fake-data/blob/hipster.txt
3;Tasty invoice monitor;../fake-data/blob/hipster.txt
4;user-centric;../fake-data/blob/hipster.txt
5;Checking Account;../fake-data/blob/hipster.txt
6;Unbranded;../fake-data/blob/hipster.txt
7;grow e-enable Practical;../fake-data/blob/hipster.txt
8;mindshare Garden channels;../fake-data/blob/hipster.txt
9;Lights Refined Marshall Islands;../fake-data/blob/hipster.txt
10;sky blue;../fake-data/blob/hipster.txt
